artist,title,lyrics
Aastha Gill,Kamariya,"5 ContributorsKamariya LyricsO seeli peeli pa ke o balam
Tod de bharam
Chhod de ghabrana
Bajaye tu ye door se horn kya?
Dil ke saare button khol de
Khul ke bol de
Sehme rahiyo na
Bata de tera aaj hai plan kya?
Aaj bijli bhi girwani hai
Fire bhi lagwaani hai
Jo tu aa ke baby hamre saath ma
Aa aa aa aa ke
Kamariya…
Hila de hilla de
Hila de hilla de
Hila de hilla de
Najariya…
Mila de milla de
Mila de milla de
Mila de milla de
Kamariya…
Hila de hilla de
Hila de hilla de
Hila de hilla de
Najariya…
Mila de milla de
Mila de milla de
Mila de milla de
You might also likeHo.. haye re mera dil le le
Haye re meri jaan le le
Badle mein tu thodi si haan thodi si
Toh kamariya hila de
Haye re mera dil le le
Haye re meri jaan le le
Ho dil mein tu thodi si haan thodi si
Kamariya…
Hila de hilla de
Hila de hilla de
Hila de hilla de
Najariya…
Mila de milla de
Mila de milla de
Mila de milla de
Kamariya…
Hila de hilla de
Hila de hilla de
Hila de hilla de
Najariya…
Mila de milla de
Mila de milla de
Mila de milla de
Najariya…
Kamariya…
Yeh nazaare tere
Yeh sitaare tere
Yeh bahaare tere
Le le meri jaan
Yeh baahein le le
Sadaayein le le
Aah, jo chaahe le le
De de thoda pyaar
Yeh nazaare tere
Yeh sitaare tere
Yeh bahaare tere
Le le meri jaan
Yeh baahein le le
Sadaayein le le
Aah, jo chaahe le le
De de thoda pyaar
Aaj bijli bhi girwani hai
Fire bhi lagwaani hai
Jo tu aa ke baby hamre saath ma
Aa aa aa aa ke…
Kamariya…
Hila de hilla de
Hila de hilla de
Hila de hilla de
Najariya…
Mila de milla de
Mila de milla de
Mila de milla de
Kamariya…
Hila de hilla de
Hila de hilla de
Hila de hilla de
Najariya…
Mila de milla de
Mila de milla de
Mila de milla deEmbed"
Aastha Gill,Hermosa,"1 ContributorHermosa LyricsAauga kehnde ne Barcelona ton
Utri ae tu dass mainu
Na na na na nah
Oh baby main Dilli shehar di Senorita hoon
Puchh kisi ton vi tu
Billo lagdi ae hermosa
Lagdi ae hermosa
Ae billo lagdi ae hermosa
Billo lagdi ae hermosa
Bobby Brown di load ni
I don’t give a damn
Na makeup shakeup laani aan
Jithe jawan utte agg main laani aan
Ola ola ola ola ola yeha yeah yeah!
Main bandi badi classy aan
Badi saucy aan
Nale thodi thodi messy aan
Do peg laake shor machaani aan
Ni tu lagdi ae bomb badi girl
Vanilla ice-cream jaisi yum badi girl
Haaye ni lagdi ae fun badi girl
Come chill mere naal tu ban meri girl
You might also likeOh girl!
Sunneya main California ton utri ae tu
Is it true?
Na na na na nah
Oh baby main Mumbai shehar di mamacita hoon
Jaayi look te na tu
Taiyon lagdi ae hermosa
Lagdi ae hermosa
Ae billo lagdi ae hermosa
Billo lagdi ae hermosa
Hermosa badi formosa
Tu kya shehar’an vich kardi ae shosha
Tu lagdi ae badi sabrosa
Tu vekh tere pichhe ho ja na locha
Jehde vi tu jaandi, munde kare follow
Kinne tainu DM ch likhde ni Hello
Ho pichhe pichhe aande
Jithe jithe aago
Kehnde mere naal ek selfie kara lo
Mi amor, mi chica
Aa laike chalun tainu America
Mi amor, mi vida
Patane ka na mujhe koyi tareeka
Oh girl!
Gall chaldi kal Havana ton utri ae tu
Saare kehnde kyun
Na na na na nah
Oh baby main shehar Chandigarh di Bonita hoon
Kahton puchhda ae tu
Kyun ki lagdi ae hermosa
Lagdi ae hermosa
Ae billo lagdi ae hermosa
Billo lagdi ae hermosaEmbed"
Aastha Gill,Naagin,"4 ContributorsNaagin LyricsIt's been long...
तेरी बिन सुने परदेसी
It's been long...
तेरी बिन सुने परदेसी
नागिन गिन गिन गिन गिन
गिन गिन गिन गिन मर गयी
नागिन गिन गिन गिन गिन
गिन गिन गिन गिन मर गयी
सजना बिन तेरे
लगे आँगन टेढ़े
मैं नाच ना जानू इक रत्ती anymore
लहराना भूली , इठलाना भूली
घर आजा ना डॉन'त योउ लोवे मे anymore
It's been long...
तेरी बिन सुने परदेसी
It's been long...
तेरी बिन सुने परदेसी
नागिन गिन गिन गिन गिन
गिन गिन गिन गिन मर गयी
नागिन गिन गिन गिन गिन
गिन गिन गिन गिन मर गयी
नागिन गिन गिन गिन गिन
गिन गिन गिन गिन मर गयी
नागिन गिन गिन गिन गिन
गिन गिन गिन गिन मर गयी
You might also likeMiss करती रहती तुझको
पर तू मेरा Phone ना पकड़े
I'm the queen of the jungle
फिर मुझसे ज़्यादा तेरे नखरे
मिस करती रहती तुझको
पर तू मेरा फोन ना पकड़े
I'm the queen of the jungle
फिर मुझसे ज़्यादा तेरे नखरे
इतना भी तू भाव ना खा
ओ उड़ते मुसाफिर floor पे आ
आ करके देख ले
कैसे याद करूँ पल पल
It's been long...
तेरे संग नाचे परदेसी
It's been long...
तेरे संग नाचे परदेसी
नागिन गिन गिन गिन गिन
गिन गिन गिन गिन मर गयी
नागिन गिन गिन गिन गिन
गिन गिन गिन गिन मर गयी
नागिन गिन गिन गिन गिन
गिन गिन गिन गिन मर गयी
नागिन गिन गिन गिन गिन
गिन गिन गिन गिन मर गयीEmbed"
Aastha Gill,Video Bana De,"2 ContributorsVideo Bana De Lyricsकेमरे वाले केमरेवाले वीडियो बना दे रे
मैं लगदी आज आग सोह्णेया आग तू होर जगा दे रे
केमरे वाले केमरे वाले वीडियो बना दे रे
मैं लगदी आज आग सोह्णेया आग तू होर जगा दे रे
सपनी बनाया बलान ली लट्ट नू
मीठी मीठी लगदी ऐ तू जट्ट नू
सपनी बनाया बलान ली लट्ट नू
मीठी मीठी लगदी ऐ तू जट्ट नू
जीना’आ शीना’आ
ओये होये
जीना’आ शीना’आ
सूट बूट ते इला शिला ला दे रे
केमरे वाले केमरेवाले वीडियो बना दे रे
मैं लगदी आज आग सोह्णेया आग तू होर जगा दे रे
केमरे वाले केमरे वाले वीडियो बना दे रे
मैं लगदी आज आग सोह्णेया आग तू होर जगा दे रे
चक्क तेरे चूड़ियां ते झुमके
कड्ड ले नी टोर बल्लिये
सारी रात नची मेरे सामने
जट्ट करदे ना बोर बल्लिये
चक्क तेरे चूड़ियां ते झुमके
कड्ड ले नी टोर बल्लिये
सारी रात नची मेरे सामने
जट्ट करदे ना बोर बल्लिये
You might also likeमैं जड़ों नैनी सुरमा पा लुंगी
मैं तारे थल्ले ला लूँगी
वे चन्न वी अखां मारुंगा
बद्दलां तो मिह पावा लुंगी
मेरे लई कोई गाना जानी तो लिखवा दे रे
केमरे वाले केमरेवाले वीडियो बना दे रे
मैं लगदी आज आग सोह्णेया आग तू होर जगा दे रे
केमरे वाले केमरे वाले वीडियो बना दे रे
मैं लगदी आज आग सोह्णेया आग तू होर जगा दे रे
नी तू ऐनी ज्यादा फील ना ले गोरिये
एडी वी तेरे च गल्ल बात नहीं
तेरे नालों ज्यादा सोहणी छड्डी मैं
कुड़ी इक परसों दी रात नी
नी तू ऐनी ज्यादा फील ना ले गोरिये
एडी वी तेरे च गल्ल बात नहीं
तेरे नालों ज्यादा सोहणी छड्डी मैं
कुड़ी इक परसों दी रात नी
तू पहलां शूट करीं लक्क वे
ते फिर मेरी शूट करीं अख वे
तू कर लयीन शूट बूट ते बाल
ते फिर मेरा शूट करीं नक्क वे
मैं कटरीना तों ओये होये
मैं कटरीना तों सोहणी
दुनियां न अज दिखा दे रे
केमरे वाले केमरेवाले वीडियो बना दे रे
मैं लगदी आज आग सोह्णेया आग तू होर जगा दे रे
केमरे वाले केमरे वाले वीडियो बना दे रे
मैं लगदी आज आग सोह्णेया आग तू होर जगा दे रेEmbed"
Aastha Gill,Saara India,"2 ContributorsSaara India LyricsMixSingh in the house, house, house
ਸੁਣ, ਮੁੰਡਿਆ ਵੇ, ਜੇ ਹਾਂ ਕਰਵਾਉਣੀ
ਮੈਂ ਵੀ ਤੈਥੋਂ ਇਕ ਗੱਲ ਮਨਾਉਣੀ
ਸੁਣ, ਮੁੰਡਿਆ ਵੇ, ਜੇ ਹਾਂ ਕਰਵਾਉਣੀ
ਮੈਂ ਵੀ ਤੈਥੋਂ ਇਕ ਗੱਲ ਮਨਾਉਣੀ
ਟੈਨਸ਼ਨਾਂ ਨੂੰ, ਟੈਨਸ਼ਨਾਂ ਨੂੰ
ਟੈਨਸ਼ਨਾਂ ਨੂੰ ਜੜ ਤੋਂ ਮੁਕਾ ਦੇ, ਸੋਹਣੇਆ
ਤੂੰ ਮੈਂਨੂੰ ਸਾਰਾ India ਘੁਮਾ ਦੇ, ਸੋਹਣੇਆ
ਨਾ ਕੋਈ ਤੇਰੇ ਵਰਗਾ, ਦਿਖਾ ਦੇ, ਸੋਹਣੇਆ
ਤੂੰ ਮੈਂਨੂੰ ਸਾਰਾ India ਘੁਮਾ ਦੇ, ਸੋਹਣੇਆ
ਪਹਿਲਾ ਗੇੜਾ ਲਾਈਏ up hill ਵੱਲ ਨੂੰ
ਰਹਿ ਗਿਆ ਜੋ ਬਾਕੀ ਘੁੰਮ ਲਾਂਗੇ ਕਲ ਨੂੰ
ਪਹਿਲਾ ਗੇੜਾ ਲਾਈਏ up hill ਵੱਲ ਨੂੰ
ਰਹਿ ਗਿਆ ਜੋ ਬਾਕੀ ਘੁੰਮ ਲਾਂਗੇ ਕਲ ਨੂੰ
ਫ਼ੇਰ ਗੱਡੀ, ਫ਼ੇਰ ਗੱਡੀ
ਫ਼ੇਰ ਗੱਡੀ ਆਗਰੇ ਨੂੰ ਪਾ ਦੇ, ਸੋਹਣੇਆ
ਤੂੰ ਮੈਂਨੂੰ ਸਾਰਾ India ਘੁਮਾ ਦੇ, ਸੋਹਣੇਆ
ਨਾ ਕੋਈ ਤੇਰੇ ਵਰਗਾ, ਦਿਖਾ ਦੇ, ਸੋਹਣੇਆ
ਤੂੰ ਮੈਂਨੂੰ ਸਾਰਾ India ਘੁਮਾ ਦੇ, ਸੋਹਣੇਆ
Thank You ਜਨਾਬ, ਮੈਂਨੂੰ ਇੰਨਾ ਚਾਹਉਣ ਲਈ
ਟਿਕਿਟਾਂ ਕਰਾਈਏ ਕਲ ਗੋਆ ਜਾਣ ਲਈ
Thank You ਆ, Nikk, ਮੈਂਨੂੰ ਇੰਨਾ ਚਾਹਉਣ ਲਈ
ਟਿਕਿਟਾਂ ਕਰਾਈਏ ਕਲ ਗੋਆ ਜਾਣ ਲਈ
You might also likeਲੈ ਜਾ ਮੈਂਨੂੰ, ਲੈ ਜਾ ਮੈਂਨੂੰ
ਲੈ ਜਾ ਮੈਂਨੂੰ daddy ਤੋਂ ਛੁਪਾ ਕੇ, ਸੋਹਣੇਆ
ਤੂੰ ਮੈਂਨੂੰ ਸਾਰਾ India ਘੁਮਾ ਦੇ, ਸੋਹਣੇਆ
ਨਾ ਕੋਈ ਤੇਰੇ ਵਰਗਾ, ਦਿਖਾ ਦੇ, ਸੋਹਣੇਆ
ਤੂੰ ਮੈਂਨੂੰ ਸਾਰਾ India ਘੁਮਾ ਦੇ, ਸੋਹਣੇਆ
ਨਾ ਕੋਈ ਤੇਰੇ ਵਰਗਾ, ਦਿਖਾ ਦੇ, ਸੋਹਣੇਆ
ਤੂੰ ਮੈਂਨੂੰ ਸਾਰਾ India ਘੁਮਾ ਦੇ, ਸੋਹਣੇਆEmbed"
Alka Yagnik,Aapke Pyaar Mein,"3 ContributorsAapke Pyaar Mein Lyricsआपके प्यार में हम सँवरने लगे
देख के आपको हम निखरने लगे
इस क़दर आप से हम को मोहब्बत हुई
इस क़दर आप से हम को मोहब्बत हुई
टूट के बाज़ुओं में बिखरने लगे
आपके प्यार में हम सँवरने लगे
आप जो इस तरह से तड़पाएँगे
ऐसे आलम में पागल हो जाएँगे
आप जो इस तरह से तड़पाएँगे
ऐसे आलम में पागल हो जाएँगे
वो मिल गया, जिसकी हमें कब से तलाश थी
बेचैन सी इन साँसों में जन्मों की प्यास थी
जिस्म से रूह में हम उतरने लगे
जिस्म से रूह में हम उतरने लगे
इस क़दर आप से हम को मोहब्बत हुई
इस क़दर आप से हम को मोहब्बत हुई
टूट के बाज़ुओं में बिखरने लगे
आपके प्यार में हम सँवरने लगे
रूप की आँच से तन पिघल जाएगा
आग लग जाएगी, मन मचल जाएगा
रूप की आँच से तन पिघल जाएगा
आग लग जाएगी, मन मचल जाएगा
ये लब ज़रा टकराए जो दिलबर के होंठ से
चिंगारियाँ उड़ने लगी शबनम की चोट से
You might also likeहम सनम, हद से आगे गुज़रने लगे
हम सनम, हद से आगे गुज़रने लगे
इस क़दर आप से हम को मोहब्बत हुई
इस क़दर आप से हम को मोहब्बत हुई
टूट के बाज़ुओं में बिखरने लगे
टूट के बाज़ुओं में बिखरने लगे
आपके प्यार में हम सँवरने लगेEmbed"
Alka Yagnik,Kuch Kuch Hota Hai (Sad Version),"2 ContributorsTranslationsRomanizationKuch Kuch Hota Hai (Sad Version) Lyrics
जान-ए-वफ़ा होके बेकरार
जान-ए-वफ़ा होके बेकरार
बरसों किया मैंने इंतज़ार

पर कभी तूने नहीं
ये सब कहा, जो अब कहा
दिल बेबसी में चुपके से रोता है

क्या करूँ, हाय, कुछ-कुछ होता है
क्या करूँ, हाय, कुछ-कुछ होता हैYou might also likeEmbed"
Alka Yagnik,Ringa Ringa,"3 ContributorsRinga Ringa LyricsChick a chick achick chick chick
Chick achick achick chick chick
Ring ring ringa
Ring ring ringa
Ring ring ringa ringa ringa
Hayeeee!
Aye Ree!!!
Aahahh!!!!
Chua Chua chua chuachua chua Haye reee
Chua Chua ara ra ra chua chuachua
Chua Chua chua chuachua
Ayi ayi ayi ya mai mai ya
Ayi ayi ayi ayi yi yi yi
Ring ring ringa
Ring ring ringa
Ring ring ringa ringa ringa
Khatiye pe mein padi thi
Aur gehri neend badi thi
Aage kya main kahu sakhi re
Ek khatmal tha saiyana
Mujhpe tha uska nishana
Chunrai mein gus gaya dheere dheere
Oooooo ohhh
Kuch nahi samjha o buddhu
Kuch nahi socha
Reng ke jaane kaha pahucha
You might also likeRing ring ringa
Ring ring ringa
Ring ring ringa ringa ringa
Chick achick achick chick chick
Chick achick achick chick chick
Haaye woh sharmaye
Haaye Woh lajaye
Haaye Haaye
Kya chupaye
Kitna mein taddpi thi
Kitna mein royi thi
Mein to thi acchi bhali
Kyon bhala soi thi
Nigode ne mujhko chain lene na diya
Rona bhi chaha to mujhko rone bhi na diya
O ho
Aise us Harjai ki makkari
Mere tan badan mein thi lagi Chingari
Per aise kya thi lachari
O O oohoo
Are Haiya Haiya Hoo
Ring ring ringa
Ring ring ringa
Ring ring ringa ringa ringa
Haule se Gudgudata
Dil mein hulchul machata
Mein sharm se thi pani pani
Hahaha
Jo usko dhundthi mein
Chupke se woh chup jata
Aise thi woh meri kahani
Yun samjlo Khatmal ka shikar hui thi mein
Uske aage haar gai thi mein
Ring ring ringa
Ring ring ringa
Ring ring ringa ringa ringa
Sssaarpat sar pat hh
Haule haule Reeehh
Chick achick achick chick chick
Chick achick achick chick chickEmbed"
Alka Yagnik,Salaam,"1 ContributorSalaam LyricsHINDI
लाख इस दिल को हमने समझाया
दिल यहाँ फिर भी हमको लाया
सलाम सलाम
तुम्हारी महफ़िल में आ गए हैं
तुम्हारी महफ़िल में आ गए हैं
तो क्यों न हम यह भी कम कर ले
सलाम करने की आरज़ू हैं
सलाम करने की आरज़ू हैं
इधर जो देखो सलाम करले
तुम्हारी महफ़िल में आ गए हैं
तो क्यों न हम यह भी कम कर ले
सलाम करने की आरज़ू हैं
इधर जो देखो सलाम करले
यह दिल है जो आगया है तुमपर
वह अगर न सच यह है बंदापरवर
यह दिल है जो आगया है तुमपर
वह अगर न सच यह है बंदापरवर
जिसे भी हम देखले पलटकर
जिसे भी हम देखले पलटकर
उसी को अप्पना गुलाम कर ले
सलाम करने की आरज़ू हैं
इधर जो देखो सलाम करले
You might also likeबहुत से बातें है तुमको केहनी
बहुत से बातें है हमको केहनी
बहुत से बातें है तुमको केहनी
बहुत से बातें है हमको केहनी
कभी जो तनहा मिलो कहीं तुम
कभी जो तनहा मिलो कहीं तुम
तो बातें हम यह तम्माम कर ले
सलाम करने की आरज़ू हैं
इधर जो देखो सलाम करले
वह लैला मजनू की हो मोह्हबत
के सीरी फरहाद की हो उल्फ़त
वह लैला मजनू की हो मोह्हबत
के सीरी फरहाद की हो उल्फ़त
ज़रा सी तुमजो देखो ज़रुरत
ज़रा सी तुमजो देखो ज़रुरत
तो हमभी उन जैसा काम करले
तुम्हारी महफ़िल में आ गए हैं
तो क्यों न हम यह भी कम कर ले
सलाम करने की आरज़ू हैं
इधर जो देखो सलाम करले
ROMANIZATION
Laakh Is Dil Ko Humne Samjhaya
Dil Yahan Phir Bhi Humko Le Aaya
Salaam, Salaam
Tumhari Mehfil Mein Aa Gaye Hai
Tumhari Mehfil Mein Aa Gaye Hai
To Kyun Na Hum Yeh Bhi Kam Kar Le
Salam Karne Ki Arzoo Hai
Salam Karne Ki Arzoo Hai
Idhar Jo Dekho Salaam Karle
Tumhari Mehfil Mein Aa Gaye Hai
To Kyun Na Hum Yeh Bhi Kam Kar Le
Salam Karne Ki Arzoo Hai
Idhar Jo Dekho Salaam Karle
Yeh Dil Hai Jo Aa Gaya Hai Tumper
Woh Agar Na Sach Yeh Hai Bandapervar
Yeh Dil Hai Jo Aa Gaya Hai Tumper
Woh Agar Na Sach Yeh Hai Bandapervar
Jise Bhi Hum Dekhle Palatkar
Jise Bhi Hum Dekhle Palatkar
Usi Ko Appna Gulaam Kar Le
Salam Karne Ki Arzoo Hai
Idhar Jo Dekho Salaam Karle
Bhaut Se Baatein Hai Tumko Kehni
Bhaut Se Baatein Hai Humko Kehni
Bhaut Se Baatein Hai Tumko Kehni
Bhaut Se Baatein Hai Humko Kehni
Kabhi Jo Tanha Milo Kahin Tum
Kabhi Jo Tanha Milo Kahin Tum
To Baatein Hum Yeh Tammam Kar Le
Salam Karne Ki Arzoo Hai
Idhar Jo Dekho Salaam Karle
Wo Laila Majnu Ki Ho Mohahbaat
Ke Seeri Farhad Ki Ho Ulfat
Wo Laila Majnu Ki Ho Mohahbaat
Ke Seeri Farhad Ki Ho Ulfat
Zara Si Tumjo Dekho Jurrat
Zara Si Tumjo Dekho Jurrat
To Humbhi Un Jaisa Kaam Karle
Tumhari Mehfil Mein Aa Gaye Hai
To Kyun Na Hum Yeh Bhi Kam Kar Le
Salam Karne Ki Arzoo Hai
Idhar Jo Dekho Salaam Karle

ENGLISH
I have advised my heart... a million times
But still my heart has brought me here
Greetings, greetings
I have arrived in your celebrations
I have arrived in your celebrations
Why shouldn't do this also?
I wish to greet you
I wish to greet you
Look at me so that I greet you
I have arrived in your celebrations
Why shouldn't do this also?
I wish to greet you
Look at me so that I greet you
My heart has come upon you
But this is not true my dear
My heart has come upon you
But this is not true my dear
Whoever I turn and see
Whoever I turn and see
I will make him my slave
I wish to greet you
Look at me so that I greet you
There are many things to tell you
There are many things, I need to tell you
There are many things to tell you
There are many things, I need to tell you
Whenever you meet me alone
Whenever you meet me alone
I will tell you everything I know
I wish to greet you
Look at me so that I greet you
Whether it is the love between Laila and Majnu
Or the love between Shirin and Farhad
Whether it is the love between Laila and Majnu
Or the love between Shirin and Farhad
If you show a little bit of bravery
If you show a little bit of bravery
Then even I will be famous like them
I have arrived in your celebrations
Why shouldn't do this also?
I wish to greet you
Look at me so that I greet youEmbed"
Alka Yagnik,Ek Do Teen Char,"2 ContributorsEk Do Teen Char Lyricsमोहिनी, मोहिनी, मोहिनी, मोहिनी...
नमस्कार (नमस्कार)
कहिए, क्या सुनेंगे आप?
(अरे पहले ये कहिए, कहाँ थीं आप?)
मैं
मैं कर रही थी किसी का इंतज़ार
(कौन है वो?)
वो, जिसे करती हूँ प्यार (हाए)
और जिससे करती हूँ मिन्नतें बार-बार
(कैसे?)
ऐसे
डींग डोंग डींग, डींग डोंग, डींग डोंग, डींग डोंग
डींग डोंग डोंग, डींग डोंग, डींग डोंग डोंग
एक, दो तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३
एक, दो तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३
तेरा करूँ...
तेरा करूँ दिन गिन-गिन के इंतज़ार, आजा पिया आई बहार
तेरा करूँ दिन गिन-गिन के इंतज़ार, आजा पिया आई बहार
एक, दो तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३
एक, दो तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३
१४ को तेरा संदेसा आया, १४ को तेरा संदेसा आया
१५ को आऊँगा ये कहलाया
१४ को आया न १५ को तू
तड़पा के मुझको तूने क्या पाया?
You might also like१६ को भी...
१६ को भी, १६ किये थे सिंगार, आजा पिया आई बहार
तेरा करूँ दिन गिन-गिन के इंतज़ार, आजा पिया आई बहार
एक, दो तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३
१७ को समझी संग छूट गया
१८ को दिल टूट गया
रो-रो गुज़ारा मैंने सारा १९
२० को दिल के टुकड़े हुए २०
फिर भी नहीं...
फिर भी नहीं दिल से गया तेरा प्यार, आजा पिया आई बहार
तेरा करूँ दिन गिन-गिन के इंतज़ार, आजा पिया आई बहार
एक, दो तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३
२१ बीती, २२ गई, २३ गुज़री, २४ गई
२५, २६ ने मारा मुझे
बिरहा की चक्की में मैं पिस गई
दिन बस...
दिन बस महीने के हैं और चार, आजा पिया आई बहार
तेरा करूँ दिन गिन-गिन के इंतज़ार, आजा पिया आई बहार
एक, दो तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३
दिन बने हफ़्ते रे, हफ़्ते महीने, महीने बन गए साल
आके ज़रा तू देख तो ले, क्या हुआ है मेरा हाल
दीवानी दर-दर मैं फिरती हूँ
न जीती हूँ, ना मैं मरती हूँ
तन्हाई की रातें सहती हूँ
आजा-आजा-आजा-आजा-आजा
आजा के दिन गिनती रहती हूँ
एक, दो तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३
एक, दो तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३
तेरा करूँ दिन गिन-गिन के इंतज़ार, आजा पिया आई बहार
तेरा करूँ दिन गिन-गिन के इंतज़ार, आजा पिया आई बहार
एक, दो तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३
एक, दो तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३Embed"
