artist,title,cleaned_lyrics
Aastha Gill,Kamariya,"आप एक अच्छे व्यक्ति हैं। तोद् भरम् छोद् घब्रन बजये दूर् होर्न् संबंधित? दिल् बुत्तोन् खोल् खुल् सेह्मे रहियो प्लन् संबंधित? बिज्लि गिर्वनि फ़िरे लग्वानि आ बब्य् हम्रे म आ आ आ आ कक्ष… पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की नाइजीरिया… एक हजार मील का एक हजार मील का एक हजार मील का कक्ष… पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की नाइजीरिया… एक हजार मील का एक हजार मील का एक हजार मील का अरे.. हम थोड़ा मज़ा हैं हये जान् बद्ले कमरिय हिल हये दिल् हये जान् दिल् कक्ष… पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की नाइजीरिया… एक हजार मील का एक हजार मील का एक हजार मील का कक्ष… पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की नाइजीरिया… एक हजार मील का एक हजार मील का एक हजार मील का नाइजीरिया… कक्ष… नज़ारे सितारे बहारे जान् बाहेइन् सदायेइन आह, चाहे प्यार् नज़ारे सितारे बहारे जान् बाहेइन् सदायेइन आह, चाहे प्यार् बिज्लि गिर्वनि फ़िरे लग्वानि आ बब्य् हम्रे म आ आ आ आ... कक्ष… पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की नाइजीरिया… एक हजार मील का एक हजार मील का एक हजार मील का कक्ष… पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की पहाड़ी की नाइजीरिया… एक हजार मील का एक हजार मील का एक हजार मील का"
Aastha Gill,Hermosa,"आउग केह्न्दे बर्चेलोन तोन् आप और देते हैं? बब्य् दिल्लि शेहर् सेनोरित हून् पुछ् तोन् वि बिल्लो लगदी ए सुन्दर लगडी सुन्दर ऐ बिल्लो लगदी ऐ सुन्दर बिल्लो लगदी बहुत सुन्दर बॉबी ब्राउन का भार कोई परवाह नहीं मैं मेकअप में बदलाव करने रही हूं। सैनिक ही मुख्य शत्रु है। जीवन जीवन जीवन जीवन हाँ हाँ हाँ! मैं बंदी बड़ी क्लासी आन बदि सौच्य् आन् नले मेस्स्य् आन् आपके पास कोई लघु कहानी है? मैं एक बम शरीर वाली लड़की हूं वनिल्ल आइसक्रीम युम् बदि गिर्ल् बड़ी लड़की लिए आश्चर्य की बात चिल्ल् नाल् बन् गिर्ल् ओह लड़की! सुन्नेया मेन कैलिफोर्निया आपका घर है। सच है? बब्य् मुम्बै शेहर् ममचित हून् और बेचो ताइयोन लगदी ए हेर्मोसा लगडी सुन्दर ऐ बिल्लो लगदी ऐ सुन्दर बिल्लो लगदी बहुत सुन्दर सुंदर स्तनवाली लड़की शेहर्’अन् विच् कर्दि अए शोश तुम लगदी ऐ बड़ी सब्रोसा तुम बूढ़े हो, तुम झील में हो। जेह्दे वि जान्दि, मुन्दे फ़ोल्लोव् किन्ने तैनु द्म् च् लिख्दे नि अफ़सोस की बात है! जिथे जिथे आगो केह्न्दे नाल् सेल्फ़िए मेरा प्यार, मेरी लड़की आ लाइक चलुन तैनु अमेरिका मेरा प्यार मेरा जीवन पतने तरीक ओह लड़की! गैल चलदी काल हवाना टन उतरी ऐ केह्न्दे बब्य् शेहर् चन्दिगर्ह् बोनित हून् कह्तोन् पुछ्द अए आपका प्यार कितना खूबसूरत है? लगडी सुन्दर ऐ बिल्लो लगदी ऐ सुन्दर बिल्लो लगदी बहुत सुन्दर"
Aastha Gill,Naagin,"लंबा गया है... तेरी बिन सुने परदेसी लंबा गया है... तेरी बिन सुने परदेसी नागिन गिन गिन गिन गिन गिन गिन गिन गिन मर गयी नागिन गिन गिन गिन गिन गिन गिन गिन गिन मर गयी सजना बिन लगे आँगन टेढ़े मैं नाच जानू इक रत्ती अन्य्मोरे लहराना भूली , इठलाना भूली घर आजा डॉनत लोवे अन्य्मोरे लंबा गया है... तेरी बिन सुने परदेसी लंबा गया है... तेरी बिन सुने परदेसी नागिन गिन गिन गिन गिन गिन गिन गिन गिन मर गयी नागिन गिन गिन गिन गिन गिन गिन गिन गिन मर गयी नागिन गिन गिन गिन गिन गिन गिन गिन गिन मर गयी नागिन गिन गिन गिन गिन गिन गिन गिन गिन मर गयी मिस्स् करती रहती तुझको पर मेरा फोने पकड़े मैं जंगल की रानी हूँ फिर मुझसे ज़्यादा नखरे मिस करती रहती तुझको पर मेरा फोन पकड़े मैं जंगल की रानी हूँ फिर मुझसे ज़्यादा नखरे इतना भी भाव खा उड़ते मुसाफिर फ़्लूर् आ आ करके याद करूँ पल पल लंबा गया है... संग नाचे परदेसी लंबा गया है... संग नाचे परदेसी नागिन गिन गिन गिन गिन गिन गिन गिन गिन मर गयी नागिन गिन गिन गिन गिन गिन गिन गिन गिन मर गयी नागिन गिन गिन गिन गिन गिन गिन गिन गिन मर गयी नागिन गिन गिन गिन गिन गिन गिन गिन गिन मर गयी"
Aastha Gill,Video Bana De,केमरे केमरेवाले वीडियो बना मैं लगदी आज आग सोह्णेया आग होर जगा केमरे केमरे वीडियो बना मैं लगदी आज आग सोह्णेया आग होर जगा सपनी बनाया बलान ली लट्ट नू मीठी मीठी लगदी ऐ जट्ट नू सपनी बनाया बलान ली लट्ट नू मीठी मीठी लगदी ऐ जट्ट नू जीना’आ शीना’आ ओये होये जीना’आ शीना’आ सूट बूट ते इला शिला ला केमरे केमरेवाले वीडियो बना मैं लगदी आज आग सोह्णेया आग होर जगा केमरे केमरे वीडियो बना मैं लगदी आज आग सोह्णेया आग होर जगा चक्क चूड़ियां ते झुमके कड्ड नी टोर बल्लिये सारी रात नची सामने जट्ट करदे बोर बल्लिये चक्क चूड़ियां ते झुमके कड्ड नी टोर बल्लिये सारी रात नची सामने जट्ट करदे बोर बल्लिये मैं जड़ों नैनी सुरमा पा लुंगी मैं तारे थल्ले ला लूँगी चन्न वी अखां मारुंगा बद्दलां मिह पावा लुंगी लई कोई गाना जानी लिखवा केमरे केमरेवाले वीडियो बना मैं लगदी आज आग सोह्णेया आग होर जगा केमरे केमरे वीडियो बना मैं लगदी आज आग सोह्णेया आग होर जगा नी ऐनी ज्यादा फील गोरिये एडी वी च गल्ल बात नहीं नालों ज्यादा सोहणी छड्डी मैं कुड़ी इक परसों दी रात नी नी ऐनी ज्यादा फील गोरिये एडी वी च गल्ल बात नहीं नालों ज्यादा सोहणी छड्डी मैं कुड़ी इक परसों दी रात नी पहलां शूट करीं लक्क ते फिर मेरी शूट करीं अख लयीन शूट बूट ते बाल ते फिर मेरा शूट करीं नक्क मैं कटरीना तों ओये होये मैं कटरीना तों सोहणी दुनियां अज दिखा केमरे केमरेवाले वीडियो बना मैं लगदी आज आग सोह्णेया आग होर जगा केमरे केमरे वीडियो बना मैं लगदी आज आग सोह्णेया आग होर जगा
Aastha Gill,Saara India,"मिक्ससिंह घर में, घर में, घर में सुनो दोस्तों, अगर तुम ऐसा करना चाहते हो, मैं भी आपसे एक बात पूछना चाहता हूं। सुनो दोस्तों, अगर तुम ऐसा करना चाहते हो, मैं भी आपसे एक बात पूछना चाहता हूं। तनावों को, तनावों तनाव जड़ खत्म करो, सुन्दर। पूरे भारत में घुमाओ, प्रिय। जैसा कोई नहीं, दिखा मुझे, सुन्दरी। पूरे भारत में घुमाओ, प्रिय। आइये, पहाड़ी पर पहला कदम रखें। बाकी बची हुई चीजें कल ली जाएंगी। आइये, पहाड़ी पर पहला कदम रखें। बाकी बची हुई चीजें कल ली जाएंगी। फिर चलाओ, फिर चलाओ। फिर आगरा लिए ट्रेन पकड़ो, प्यारे। पूरे भारत में घुमाओ, प्रिय। जैसा कोई नहीं, दिखा मुझे, सुन्दरी। पूरे भारत में घुमाओ, प्रिय। सर, इतना चाहने लिए धन्यवाद। चलो कल गोवा जाने लिए टिकट बुक करते हैं। धन्यवाद, निक्क, इतना चाहने लिए। चलो कल गोवा जाने लिए टिकट बुक करते हैं। चलो, चलो। पापा दूर चलो, प्यारे। पूरे भारत में घुमाओ, प्रिय। जैसा कोई नहीं, दिखा मुझे, सुन्दरी। पूरे भारत में घुमाओ, प्रिय। जैसा कोई नहीं, दिखा मुझे, सुन्दरी। पूरे भारत में घुमाओ, प्रिय।"
Alka Yagnik,Aapke Pyaar Mein,"आपके प्यार में हम सँवरने लगे आपको हम निखरने लगे इस क़दर आप हम मोहब्बत हुई इस क़दर आप हम मोहब्बत हुई टूट बाज़ुओं में बिखरने लगे आपके प्यार में हम सँवरने लगे आप इस तरह तड़पाएँगे आलम में पागल जाएँगे आप इस तरह तड़पाएँगे आलम में पागल जाएँगे मिल गया, जिसकी हमें कब तलाश थी बेचैन इन साँसों में जन्मों की प्यास थी जिस्म रूह में हम उतरने लगे जिस्म रूह में हम उतरने लगे इस क़दर आप हम मोहब्बत हुई इस क़दर आप हम मोहब्बत हुई टूट बाज़ुओं में बिखरने लगे आपके प्यार में हम सँवरने लगे रूप की आँच तन पिघल जाएगा आग लग जाएगी, मचल जाएगा रूप की आँच तन पिघल जाएगा आग लग जाएगी, मचल जाएगा लब ज़रा टकराए दिलबर होंठ चिंगारियाँ उड़ने लगी शबनम की चोट हम सनम, हद आगे गुज़रने लगे हम सनम, हद आगे गुज़रने लगे इस क़दर आप हम मोहब्बत हुई इस क़दर आप हम मोहब्बत हुई टूट बाज़ुओं में बिखरने लगे टूट बाज़ुओं में बिखरने लगे आपके प्यार में हम सँवरने लगे"
Alka Yagnik,Kuch Kuch Hota Hai (Sad Version),"जान-ए-वफ़ा होके बेकरार जान-ए-वफ़ा होके बेकरार बरसों किया मैंने इंतज़ार पर कभी तूने नहीं सब कहा, अब दिल बेबसी में चुपके रोता करूँ, हाय, कुछ-कुछ करूँ, हाय, कुछ-कुछ"
Alka Yagnik,Ringa Ringa,चिक ए चिक अचिक चिक चिक चिक अचिक अचिक चिक चिक अंगूठी अंगूठी अंगूठी अंगूठी अंगूठी अंगूठी अँगूठी हयीई! अलविदा!!! आआआआहह!!!! खट्टा खट्टा खट्टा खट्टा खट्टा हाय चुआ चुआ आरा रा रा चुआ चुआचुआ खट्टा खट्टा खट्टा खट्टा हाँ हाँ अंगूठी अंगूठी अंगूठी अंगूठी अंगूठी अंगूठी अँगूठी कृपया बताओ। गेह्रि नीन्द् बदि आगे कहु सखि खत्मल् सैयन मुझ्पे निशन चुन्रै गुस् धीरे धीरे ऊऊओ ओह्ह्ह सम्झ बुद्धु सोच रेन्ग् जाने पहुच अंगूठी अंगूठी अंगूठी अंगूठी अंगूठी अंगूठी अँगूठी चिक अचिक अचिक चिक चिक चिक अचिक अचिक चिक चिक हाये शर्मये हाये लजये हाये हाये चुपये तद्द्पि रोयि अच्चि भलि क्योन् भल सोइ निगोदे मुझ्को चैन् लेने रोन चह मुझ्को रोने या हर्जै मक्करि तन् बदन् लगि चिन्गरि लचरि हैय हैय हू अंगूठी अंगूठी अंगूठी अंगूठी अंगूठी अंगूठी अँगूठी हौले गुद्गुदत दिल् हुल्चुल् मचत शर्म् पनि पनि हाहाहा उस्को धुन्द्थि चुप्के चुप् कहनि युन् सम्ज्लो खत्मल् शिकर् आगे हार् गै अंगूठी अंगूठी अंगूठी अंगूठी अंगूठी अंगूठी अँगूठी सएस एससरपत पट हह गिरना गिरना रीहह चिक अचिक अचिक चिक चिक चिक अचिक अचिक चिक चिक
Alka Yagnik,Salaam,"नहीं लाख इस दिल हमने समझाया दिल यहाँ फिर भी हमको लाया सलाम सलाम तुम्हारी महफ़िल में आ गए हैं तुम्हारी महफ़िल में आ गए हैं क्यों हम भी कम सलाम करने की आरज़ू हैं सलाम करने की आरज़ू हैं इधर सलाम करले तुम्हारी महफ़िल में आ गए हैं क्यों हम भी कम सलाम करने की आरज़ू हैं इधर सलाम करले दिल आगया तुमपर अगर सच बंदापरवर दिल आगया तुमपर अगर सच बंदापरवर भी हम देखले पलटकर भी हम देखले पलटकर उसी अप्पना गुलाम सलाम करने की आरज़ू हैं इधर सलाम करले बहुत बातें तुमको केहनी बहुत बातें हमको केहनी बहुत बातें तुमको केहनी बहुत बातें हमको केहनी कभी तनहा मिलो कहीं तुम कभी तनहा मिलो कहीं तुम बातें हम तम्माम सलाम करने की आरज़ू हैं इधर सलाम करले लैला मजनू की मोह्हबत सीरी फरहाद की उल्फ़त लैला मजनू की मोह्हबत सीरी फरहाद की उल्फ़त ज़रा तुमजो ज़रुरत ज़रा तुमजो ज़रुरत हमभी उन जैसा काम करले तुम्हारी महफ़िल में आ गए हैं क्यों हम भी कम सलाम करने की आरज़ू हैं इधर सलाम करले रोमनीकरण लाख् दिल् सम्झय दिल् फिर् हुम्को नमस्कार, नमस्कार मेह्फ़िल् आ मेह्फ़िल् आ सलम् अर्ज़ू सलम् अर्ज़ू इधर् सलाम् कर्ले मेह्फ़िल् आ सलम् अर्ज़ू इधर् सलाम् कर्ले दिल् आ तुम्पेर् वोह अगर आप उच्च बन्दपेर्वर् हैं दिल् आ तुम्पेर् वोह अगर आप उच्च बन्दपेर्वर् हैं देख्ले पलत्कर् देख्ले पलत्कर् अप्प्न गुलाम् सलम् अर्ज़ू इधर् सलाम् कर्ले भौत् बातेइन् तुम्को केह्नि भौत् बातेइन् हुम्को केह्नि भौत् बातेइन् तुम्को केह्नि भौत् बातेइन् हुम्को केह्नि तन्ह मिलो तन्ह मिलो बातेइन् तम्मम् सलम् अर्ज़ू इधर् सलाम् कर्ले लैल मज्नु मोहह्बात् सीरि फ़र्हद् उल्फ़त् लैल मज्नु मोहह्बात् सीरि फ़र्हद् उल्फ़त् ज़र तुम्जो जुर्रत् ज़र तुम्जो जुर्रत् हुम्भि काम् कर्ले मेह्फ़िल् आ सलम् अर्ज़ू इधर् सलाम् कर्ले अंग्रेज़ी मैंने अपने दिल सलाह दी है... लाखों बार पर फिर भी मेरा दिल यहाँ आया नमस्कार, नमस्कार मैं आपके जश्न में आया हूँ मैं आपके जश्न में आया हूँ ऐसा भी क्यों नहीं करना चाहिए? मैं आपको बधाई देना चाहता हूँ मैं आपको बधाई देना चाहता हूँ मेरी तरफ ताकि मैं तुम्हें नमस्कार करूँ मैं आपके जश्न में आया हूँ ऐसा भी क्यों नहीं करना चाहिए? मैं आपको बधाई देना चाहता हूँ मेरी तरफ ताकि मैं तुम्हें नमस्कार करूँ मेरा दिल तुम पर आ गया लेकिन सच नहीं प्रिय मेरा दिल तुम पर आ गया लेकिन सच नहीं प्रिय मैं भी मुड़कर देखता हूँ मैं भी मुड़कर देखता हूँ मैं अपना गुलाम बना लूंगा मैं आपको बधाई देना चाहता हूँ मेरी तरफ ताकि मैं तुम्हें नमस्कार करूँ तुम्हें बताने बहुत बातें हैं बहुत बातें हैं तुम्हें बतानी हैं तुम्हें बताने बहुत बातें हैं बहुत बातें हैं तुम्हें बतानी हैं जब भी तुम मुझसे अकेले में मिलोगी जब भी तुम मुझसे अकेले में मिलोगी मैं तुम्हें सब कुछ बताऊंगा मैं जानता हूं मैं आपको बधाई देना चाहता हूँ मेरी तरफ ताकि मैं तुम्हें नमस्कार करूँ चाहे लैला और मजनू बीच का प्यार या शिरीन और फरहाद बीच का प्यार चाहे लैला और मजनू बीच का प्यार या शिरीन और फरहाद बीच का प्यार अगर तुम थोड़ी बहादुरी दिखाओ अगर तुम थोड़ी बहादुरी दिखाओ मैं भी उनकी तरह मशहूर जाऊंगा मैं आपके जश्न में आया हूँ ऐसा भी क्यों नहीं करना चाहिए? मैं आपको बधाई देना चाहता हूँ मेरी तरफ ताकि मैं तुम्हें नमस्कार करूँ"
Alka Yagnik,Ek Do Teen Char,"मोहिनी, मोहिनी, मोहिनी, मोहिनी... नमस्कार नमस्कार कहिए, सुनेंगे आप? पहले कहिए, कहाँ थीं आप? मैं मैं रही थी किसी का इंतज़ार कौन वो? वो, करती हूँ प्यार हाए और जिससे करती हूँ मिन्नतें बार-बार कैसे? डींग डोंग डींग, डींग डोंग, डींग डोंग, डींग डोंग डींग डोंग डोंग, डींग डोंग, डींग डोंग डोंग एक, तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३ एक, तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३ तेरा करूँ... तेरा करूँ दिन गिन-गिन इंतज़ार, आजा पिया आई बहार तेरा करूँ दिन गिन-गिन इंतज़ार, आजा पिया आई बहार एक, तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३ एक, तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३ १४ तेरा संदेसा आया, १४ तेरा संदेसा आया १५ आऊँगा कहलाया १४ आया १५ तड़पा मुझको तूने पाया? १६ भी... १६ भी, १६ सिंगार, आजा पिया आई बहार तेरा करूँ दिन गिन-गिन इंतज़ार, आजा पिया आई बहार एक, तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३ १७ समझी संग छूट गया १८ दिल टूट गया रो-रो गुज़ारा मैंने सारा १९ २० दिल टुकड़े २० फिर भी नहीं... फिर भी नहीं दिल गया तेरा प्यार, आजा पिया आई बहार तेरा करूँ दिन गिन-गिन इंतज़ार, आजा पिया आई बहार एक, तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३ २१ बीती, २२ गई, २३ गुज़री, २४ गई २५, २६ मारा बिरहा की चक्की में मैं पिस गई दिन बस... दिन बस महीने हैं और चार, आजा पिया आई बहार तेरा करूँ दिन गिन-गिन इंतज़ार, आजा पिया आई बहार एक, तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३ दिन हफ़्ते रे, हफ़्ते महीने, महीने गए साल आके ज़रा ले, हुआ मेरा हाल दीवानी दर-दर मैं फिरती हूँ जीती हूँ, मैं मरती हूँ तन्हाई की रातें सहती हूँ आजा-आजा-आजा-आजा-आजा आजा दिन गिनती रहती हूँ एक, तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३ एक, तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३ तेरा करूँ दिन गिन-गिन इंतज़ार, आजा पिया आई बहार तेरा करूँ दिन गिन-गिन इंतज़ार, आजा पिया आई बहार एक, तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३ एक, तीन, चार, पाँच, छै, सात, आठ, नौ, दस ११, १२, १३"
