artist,title,cleaned_lyrics,mood
Aastha Gill,Kamariya,seeli peeli pa balam tod bharam chhod ghabrana bajaye door horn dil button khol khul sehme rahiyo plan bijli girwani fire lagwaani aa baby hamre ma aa aa aa aa kamariya hila hilla hila hilla hila hilla najariya mila milla mila milla mila milla kamariya hila hilla hila hilla hila hilla najariya mila milla mila milla mila milla likeho haye dil haye jaan badle kamariya hila haye dil haye jaan dil kamariya hila hilla hila hilla hila hilla najariya mila milla mila milla mila milla kamariya hila hilla hila hilla hila hilla najariya mila milla mila milla mila milla najariya kamariya nazaare sitaare bahaare jaan baahein sadaayein aah chaahe pyaar nazaare sitaare bahaare jaan baahein sadaayein aah chaahe pyaar bijli girwani fire lagwaani aa baby hamre ma aa aa aa aa kamariya hila hilla hila hilla hila hilla najariya mila milla mila milla mila milla kamariya hila hilla hila hilla hila hilla najariya mila milla mila milla mila milla deembed,Energetic
Aastha Gill,Hermosa,aauga kehnde barcelona ton utri ae dass mainu nah baby dilli shehar senorita hoon puchh ton vi billo lagdi ae hermosa lagdi ae hermosa ae billo lagdi ae hermosa billo lagdi ae hermosa bobby brown load ni give damn makeup shakeup laani aan jithe jawan utte agg laani aan ola ola ola ola ola yeha badi classy aan badi saucy aan nale messy aan peg laake shor machaani aan ni lagdi ae bomb badi girl vanilla icecream yum badi girl haaye ni lagdi ae fun badi girl chill naal ban girl likeoh girl sunneya california ton utri ae nah baby mumbai shehar mamacita hoon jaayi te taiyon lagdi ae hermosa lagdi ae hermosa ae billo lagdi ae hermosa billo lagdi ae hermosa hermosa badi formosa sheharan vich kardi ae shosha lagdi ae badi sabrosa vekh pichhe locha jehde vi jaandi munde follow kinne tainu dm ch likhde ni pichhe pichhe aande jithe jithe aago kehnde naal selfie mi amor mi chica aa laike chalun tainu america mi amor mi vida patane tareeka girl gall chaldi havana ton utri ae kehnde nah baby shehar chandigarh bonita hoon kahton puchhda ae lagdi ae hermosa lagdi ae hermosa ae billo lagdi ae hermosa billo lagdi ae hermosaembed,Energetic
Aastha Gill,Naagin,long tara sana paradasa long tara sana paradasa nagana gana gana gana gana gana gana gana gana mara nagana gana gana gana gana gana gana gana gana mara sajana tara laga agana tadha ma nacha jana ika ratata anymore laharana bhala ithalana bhala ghara aja danata yau lava ma anymore long tara sana paradasa long tara sana paradasa nagana gana gana gana gana gana gana gana gana mara nagana gana gana gana gana gana gana gana gana mara nagana gana gana gana gana gana gana gana gana mara nagana gana gana gana gana gana gana gana gana mara likemiss karata rahata tajhaka para ta mara phone pakada im queen jungle phara majhasa jayada tara nakhara masa karata rahata tajhaka para ta mara phana pakada im queen jungle phara majhasa jayada tara nakhara itana bha ta bhava kha udata masaphara floor pa karaka dakha la kasa yada pala pala long tara saga nacha paradasa long tara saga nacha paradasa nagana gana gana gana gana gana gana gana gana mara nagana gana gana gana gana gana gana gana gana mara nagana gana gana gana gana gana gana gana gana mara nagana gana gana gana gana gana gana gana gana mara,Energetic
Aastha Gill,Video Bana De,kamara kamaravala vadaya da ra ma lagada aja aga sahanaya aga ta hara jaga da ra kamara kamara vadaya da ra ma lagada aja aga sahanaya aga ta hara jaga da ra sapana balana la latata matha matha lagada ai ta jatata sapana balana la latata matha matha lagada ai ta jatata janaa shanaa oya haya janaa shanaa sata ta ila shala la da ra kamara kamaravala vadaya da ra ma lagada aja aga sahanaya aga ta hara jaga da ra kamara kamara vadaya da ra ma lagada aja aga sahanaya aga ta hara jaga da ra chakaka tara cha.daya ta jhamaka kadada la tara balalaya rata nacha mara samana jatata karada bara balalaya chakaka tara cha.daya ta jhamaka kadada la tara balalaya rata nacha mara samana jatata karada bara balalaya likema ja.da nana sarama pa laga ma tara thalala la laga va chanana va akha maraga badadala ta maha pava laga mara lai kai gana jana ta lakhava da ra kamara kamaravala vadaya da ra ma lagada aja aga sahanaya aga ta hara jaga da ra kamara kamara vadaya da ra ma lagada aja aga sahanaya aga ta hara jaga da ra ta aina jayada phala la garaya eda va tara cha galala naha tara nala jayada sahana chadada ma ka.da ika parasa da rata ta aina jayada phala la garaya eda va tara cha galala naha tara nala jayada sahana chadada ma ka.da ika parasa da rata ta pahala shata lakaka va ta phara mara shata akha va ta layana shata ta bala ta phara mara shata nakaka va ma katarana ta oya haya ma katarana ta sahana danaya aja dakha da ra kamara kamaravala vadaya da ra ma lagada aja aga sahanaya aga ta hara jaga da ra kamara kamara vadaya da ra ma lagada aja aga sahanaya aga ta hara jaga da ra,Happy
Aastha Gill,Saara India,mixsingh house house house sana madaa va ha karavauna ma va tatha ika gala manauna sana madaa va ha karavauna ma va tatha ika gala manauna tanashana tanashana tanashana ja.da ta maka da sahanaa ta india ghama da sahanaa kai tara varaga dakha da sahanaa ta india ghama da sahanaa pahala ga.da laie hill gaa baka ghama laga kala pahala ga.da laie hill gaa baka ghama laga kala phara gada phara gada phara gada agara pa da sahanaa ta india ghama da sahanaa kai tara varaga dakha da sahanaa ta india ghama da sahanaa janaba ina chahauna lai takata karaie kala gaa jana lai nikk ina chahauna lai takata karaie kala gaa jana lai likela la la daddy ta chapa sahanaa ta india ghama da sahanaa kai tara varaga dakha da sahanaa ta india ghama da sahanaa kai tara varaga dakha da sahanaa ta india ghama da sahanaaembed,Happy
Alka Yagnik,Aapke Pyaar Mein,apaka payara ma hama savarana laga dakha apaka hama nakharana laga isa qadara apa hama mahababata isa qadara apa hama mahababata tata bazao ma bakharana laga apaka payara ma hama savarana laga apa isa taraha ta.dapaega alama ma pagala ha jaega apa isa taraha ta.dapaega alama ma pagala ha jaega va mala jasaka hama kaba talasha bachana ina sasa ma janama payasa jasama ma hama utarana laga jasama ma hama utarana laga isa qadara apa hama mahababata isa qadara apa hama mahababata tata bazao ma bakharana laga apaka payara ma hama savarana laga rapa tana paghala jaega aga laga jaega machala jaega rapa tana paghala jaega aga laga jaega machala jaega laba zara takarae dalabara hatha chagaraya u.dana laga shabanama chata likehama sanama hada aga gazarana laga hama sanama hada aga gazarana laga isa qadara apa hama mahababata isa qadara apa hama mahababata tata bazao ma bakharana laga tata bazao ma bakharana laga apaka payara ma hama savarana laga,Romantic
Alka Yagnik,Kuch Kuch Hota Hai (Sad Version),janaevafa haka bakarara janaevafa haka bakarara barasa kaya itazara para kabha tana naha saba aba dala babasa ma chapaka rata ha kaya haya kachakacha hata ha kaya haya kachakacha hata hayou likeembed,Sad
Alka Yagnik,Ringa Ringa,chick chick achick chick chick chick achick achick chick chick ring ring ringa ring ring ringa ring ring ringa ringa ringa hayeeee ree aahahh chua chua chua chuachua chua haye reee chua chua ara ra ra chua chuachua chua chua chua chuachua ayi ayi ayi ayi ayi ayi ayi yi yi yi ring ring ringa ring ring ringa ring ring ringa ringa ringa khatiye padi gehri neend badi aage kahu sakhi khatmal saiyana mujhpe nishana chunrai gus dheere dheere oooooo ohhh samjha buddhu socha reng jaane pahucha likering ring ringa ring ring ringa ring ring ringa ringa ringa chick achick achick chick chick chick achick achick chick chick haaye sharmaye haaye lajaye haaye haaye chupaye taddpi royi acchi bhali kyon bhala soi nigode mujhko chain lene rona chaha mujhko rone harjai makkari tan badan lagi chingari lachari oohoo haiya haiya hoo ring ring ringa ring ring ringa ring ring ringa ringa ringa haule gudgudata dil hulchul machata sharm pani pani hahaha usko dhundthi chupke chup kahani yun samjlo khatmal shikar aage haar gai ring ring ringa ring ring ringa ring ring ringa ringa ringa sssaarpat sar pat hh haule haule reeehh chick achick achick chick chick chick achick achick chick chickembed,Energetic
Alka Yagnik,Salaam,hindi lakha isa dala hamana samajhaya dala phara bha hamaka laya salama salama tamahara mahafala ma gae ha tamahara mahafala ma gae ha ta kaya hama bha kama la salama karana araza ha salama karana araza ha idhara dakha salama karala tamahara mahafala ma gae ha ta kaya hama bha kama la salama karana araza ha idhara dakha salama karala dala ha agaya ha tamapara vaha agara sacha ha badaparavara dala ha agaya ha tamapara vaha agara sacha ha badaparavara jasa bha hama dakhala palatakara jasa bha hama dakhala palatakara usa apapana galama la salama karana araza ha idhara dakha salama karala likebahata ha tamaka kahana bahata ha hamaka kahana bahata ha tamaka kahana bahata ha hamaka kahana kabha tanaha mala tama kabha tanaha mala tama ta hama tamamama la salama karana araza ha idhara dakha salama karala vaha lala majana ha mahahabata pharahada ha ulafata vaha lala majana ha mahahabata pharahada ha ulafata zara tamaja dakha zararata zara tamaja dakha zararata ta hamabha una jasa kama karala tamahara mahafala ma gae ha ta kaya hama bha kama la salama karana araza ha idhara dakha salama karala romanization laakh dil samjhaya dil phir humko salaam salaam mehfil aa mehfil aa salam arzoo salam arzoo idhar salaam karle mehfil aa salam arzoo idhar salaam karle dil aa tumper sach bandapervar dil aa tumper sach bandapervar dekhle palatkar dekhle palatkar appna gulaam salam arzoo idhar salaam karle bhaut baatein tumko kehni bhaut baatein humko kehni bhaut baatein tumko kehni bhaut baatein humko kehni tanha milo tanha milo baatein tammam salam arzoo idhar salaam karle laila majnu mohahbaat seeri farhad ulfat laila majnu mohahbaat seeri farhad ulfat zara tumjo jurrat zara tumjo jurrat humbhi kaam karle mehfil aa salam arzoo idhar salaam karle english advised heart million times heart brought arrived celebrations arrived celebrations wish greet wish greet greet arrived celebrations wish greet greet heart dear heart dear turn turn make slave wish greet greet things things things things meet meet wish greet greet love laila majnu love shirin farhad love laila majnu love shirin farhad show bit bravery show bit bravery famous arrived celebrations wish greet greet youembed,Calm
Alka Yagnik,Ek Do Teen Char,mahana mahana mahana mahana namasakara namasakara kahae kaya sanaga apa ara pahala kahae apa ma ma kasa itazara kana ha va va jasa karata ha payara hae aura jasasa karata ha mananata barabara kasa daga daga daga daga daga daga daga daga daga daga daga daga daga daga daga daga daga eka da tana chara pacha cha sata atha dasa 11 12 13 eka da tana chara pacha cha sata atha dasa 11 12 13 tara tara dana ganagana itazara aja paya ai bahara tara dana ganagana itazara aja paya ai bahara eka da tana chara pacha cha sata atha dasa 11 12 13 eka da tana chara pacha cha sata atha dasa 11 12 13 14 tara sadasa 14 tara sadasa 15 auga kahalaya 14 15 ta ta.dapa majhaka tana kaya paya like16 bha 16 bha 16 kaya sagara aja paya ai bahara tara dana ganagana itazara aja paya ai bahara eka da tana chara pacha cha sata atha dasa 11 12 13 17 samajha saga chata 18 dala tata rara gazara 19 20 dala taka.da hae 20 phara bha naha phara bha naha dala tara payara aja paya ai bahara tara dana ganagana itazara aja paya ai bahara eka da tana chara pacha cha sata atha dasa 11 12 13 21 22 gai 23 gazara 24 gai 25 26 mara majha baraha chakaka ma ma pasa gai dana basa dana basa mahana ha aura chara aja paya ai bahara tara dana ganagana itazara aja paya ai bahara eka da tana chara pacha cha sata atha dasa 11 12 13 dana hafata ra hafata mahana mahana gae sala aka zara ta dakha ta la kaya haa ha mara hala davana daradara ma pharata ha ha ma marata ha tanahai rata sahata ha ajaajaajaajaaja aja dana ganata rahata ha eka da tana chara pacha cha sata atha dasa 11 12 13 eka da tana chara pacha cha sata atha dasa 11 12 13 tara dana ganagana itazara aja paya ai bahara tara dana ganagana itazara aja paya ai bahara eka da tana chara pacha cha sata atha dasa 11 12 13 eka da tana chara pacha cha sata atha dasa 11 12 13embed,Energetic
