artist,title,cleaned_lyrics,mood
Amit Trivedi,English Vinglish (Original Motion Picture Soundtrack),"कॉफी वॉफ़ी, शुगर वुगर, पेपर वेपर समाचार दृश्य, घड़ी वॉक, समय वीम, रन वुन रन वुन ट्रेन वैन, पास वास, लेट वेट, क्लास वास दोस्ती, ... बद्ला नज़र युन् युन् युन् बाहर निकालो, बाहर निकालो, नया नया नया हप्प्य् वप्प्य् बुस्य् वुस्य् हून् हून् हून् धीमे धीमे, स्लोव्ल्य् स्लोव्ल्य् मैं सीख हूं और कमा हूं, मैं नौकरी ढूंढ हूं धीमे धीमे, स्लोव्ल्य् स्लोव्ल्य् मैं सीख हूं और कमा हूं, मैं नौकरी ढूंढ हूं अफलातून इंग्लिश विंग्लिश जुनून् एन्ग्लिश् विन्ग्लिश् सुबह दोपहर इंग्लिश विंग्लिश इंग्लिश विंग्लिश... अफलातून इंग्लिश विंग्लिश जुनून् एन्ग्लिश् विन्ग्लिश् सुबह दोपहर इंग्लिश विंग्लिश इंग्लिश विंग्लिश... सब इंग्लिश विंग्लिश बारे में ओह ओह ओह.. सुबह दोपहर इंग्लिश विंग्लिश! ओह ओह ओह.. तेद युन् अच्छ फिर् मैं कोशिश हूँ वाइकिंग पसंद वोह धीमे धीमे, धीरे धीरे मैं सीख हूँ सीखूं सीखूं नई जुबान धीमे धीमे, धीरे धीरे मैं सीख हूँ सीखूं सीखूं नई जुबान अफलातून इंग्लिश विंग्लिश जुनून् एन्ग्लिश् विन्ग्लिश् सुबह दोपहर इंग्लिश विंग्लिश इंग्लिश विंग्लिश... अफलातून इंग्लिश विंग्लिश जुनून् एन्ग्लिश् विन्ग्लिश् सुबह दोपहर इंग्लिश विंग्लिश इंग्लिश विंग्लिश... सब इंग्लिश विंग्लिश बारे में ओह ओह ओह.. सुबह दोपहर इंग्लिश विंग्लिश! ओह ओह ओह.. कैसा असर् उस स्थान का नाम है? चल्ते चले बेखबर् रुक्ने कहो चल्ते जाने क़त्रा दर्र् क़त्रा फ़िकर् राहोन् खो जाये राहोन् मोद् रुक्ने निर्माण, बद्ला नज़रा युं युं युं बैग निकालो — नया नया नया हप्प्य् वप्प्य् बुस्य् वुस्य् हा! अफलातून इंग्लिश विंग्लिश जुनून् एन्ग्लिश् विन्ग्लिश् सुबह दोपहर इंग्लिश विंग्लिश इंग्लिश विंग्लिश.. सब इंग्लिश विंग्लिश बारे में ओह ओह ओह.. सुबह दोपहर इंग्लिश विंग्लिश! ओह ओह ओह.. जल्दी करो, टहल लो, ट्रेन व्यर्थ, घड़ी वॉक लेट वेट, घर घर, भागो भागो हेलो वेलो, फूड वूड, कॉल वैल बात वल्क, टीवी शिवी, नींद वीप संख्या संख्या संख्या संख्या...",Happy
Neha Kakkar,Chamma Chamma,"छम छम पैजनिया छम, छम हाय पैजनिया देखा दिल मेरा जुड़ गया लेके परदेसी दिल उड गया आँखों चोन्नेच्तिओन् जुड़ गया लेके परदेसी दिल उड गया बंद करनाआके तेरी साँसों में समाउ राजा च्लोसे आके तेरी साँसों में समाउ तेरी नींदें चुरा लूँ छम्मा छम्मा बाजे मेरी पैजनिया छम्मा छम्मा बाजे मेरी पैजनिया छम्मा छम्मा बाजे मेरी पैजनिया छम्मा छम्मा बाजे मेरी पैजनिया तेरी छम छम करती पैजनियाँ देसी बेअत् हिलती कामरिया उस पर टिकी मेरी नजरिया मैं हूँ पयासा दरिया गोल गोल कानों झुमके एक बात जाना मेरी सुनके सौ में सौ मैंने दिए नखरे आग लगाती जब मरे तुमके हिला दूं हिला दूं म्प् हाय हिला दूं हिला दूं म्प् मारु मैं ठुमका ठुमके मुंबई पटना है. मैं हारु कोल्कत तेरी पतली कमर तेरी तिरछी नज़र मुझको बना रानी अपना लोवेर् मेरी पतली कमर मेरी तिरछी नज़र आगे पीछे घूम जाने कितने लोवेर् हाथ आनी छम्मा छम्मा बाजे मेरी पैजनिया छम्मा छम्मा बाजे मेरी पैजनिया छम्मा छम्मा बाजे मेरी पैजनिया छम्मा छम्मा बाजे मेरी पैजनिया छम्, छम् पैजनिया छम्, छम् हाय पैजनिया",Energetic
AR Rahman,Ay Hairathe,"दम-दरा, दम-दरा, चश्म-चश्म नम दम-दरा, दम-दरा, चश्म-चश्म नम सुन हमदम, हमेशा इश्क़ में ही जीना दम-दरा, दम-दरा, चश्म-चश्म नम दम-दरा, दम-दरा, चश्म-चश्म नम सुन हमदम, हमेशा इश्क़ में ही जीना ऐ, हैरते आशिक़ी जगा मत पैरों ज़मीं, ज़मीं लगा मत ऐ, हैरते आशिक़ी जगा मत पैरों ज़मीं, ज़मीं लगा मत ऐ, हैरते आशिक़ी ऐ, हैरते आशिक़ी ऐ, हैरते आशिक़ी दम-दरा, दम-दरा, चश्म-चश्म नम दम-दरा, दम-दरा, चश्म-चश्म नम सुन हमदम, हमेशा इश्क़ में ही जीना क्यूँ उर्दू, फारसी बोलते हो? क्यूँ उर्दू, फारसी बोलते हो? दस कहते हो, तौलते झूठों शहनशाह कभी झाँकों, मेरी ऑंखें कभी झाँकों, मेरी ऑंखें सुनाए एक दास्ताँ होठों खोलो ऐ, हैरते आशिक़ी जगा मत पैरों ज़मीं, ज़मीं लगा मत ऐ, हैरते आशिक़ी ऐ, हैरते आशिक़ी ओ, हैरते आशिक़ी दम-दरा, दम-दरा, दम-दरा, दम-दरा दम-दरा, दम-दरा, दम-दरा, दम-दरा दम-दरा, दम-दरा, दम-दरा, दम-दरा दम-दरा, दम-दरा, दम-दरा, दम-दरा दो-चार महीन लम्हों में दो-चार महीन लम्हों में उम्रों हिसाब भी हैं जिन्हें देखा नहीं कल तक जिन्हें देखा नहीं कल तक कहीं भी अब कोख में चेहरे बोते ऐ, हैरते आशिक़ी जगा मत पैरों ज़मीं, ज़मीं लगा मत ऐ, हैरते आशिक़ी जगा मत पैरों ज़मीं, ज़मीं लगा मत ऐ, हैरते आशिक़ी ऐ, हैरते आशिक़ी ओ, हैरते आशिक़ी दम-दरा, दम-दरा, चश्म-चश्म नम दम-दरा, दम-दरा, चश्म-चश्म नम सुन हमदम, हमेशा इश्क़ में ही जीना ओ, दम-दरा, दम-दरा, चश्म-चश्म नम दम-दरा, दम-दरा, चश्म-चश्म नम सुन हमदम, हमेशा इश्क़ में ही जीना",Devotional
AR Rahman,Kannathil Muthamittal,"ऐसा नहीं है, कन्नथिल मुथमित्तल नी कन्नथिल मुथामित्तल [कोरस ओरु धेयीवम थंडा पूवे, कन्निल थेडल येन्ना थायाए 2 तुम्हारी जरूरत है, भगवान किसी चीज़ की ज़रूरत है. मैं जरूरतमंद हूं. ""काटराई पोला"" शब्द का अर्थ है? मैं गुलाम नहीं हूं. मारविल ऊरुम उइराए ओरु धेयीवम थंडा पूवे, कन्निल थेडल येन्ना थायाए 2 नेन्जिल जिल जिल जिल जिल, कादिल ढिल ढिल ढिल ढिल, कन्नथिल मुथ्थमित्तल नी कन्नथिल मुत्तमित्तल 2 मैं एक बेटे का बेटा हूँ, मैं एक बेटे का बेटा हूँ आप मलेरम हैं, आप मुल्लम हैं मैं एक अच्छा इंसान हूं, मैं एक अच्छा इंसान हूं मैं एक अच्छा इंसान हूं, मैं एक अच्छा इंसान हूं पिरान्धा उदालुम नी, पिरियुम उइरुम नी पिरान्धा उदालुम नी, पिरियुम उइरुम नी मैं स्वर्ग हूँ नहीं ओरु धेयीवम थंडा पूवे, कन्निल थेडल येन्ना थायाए 2 नेन्जिल जिल जिल जिल जिल, कादिल ढिल ढिल ढिल ढिल, कन्नथिल मुथ्थमित्तल नी कन्नथिल मुत्तमित्तल 2 येनाधु सेल्वम, येनाधु वरुमै मैं कवि हूं, मैं कवि हूं इरावल वेलिचम नी, इरावन कन्निर नी 2 येनाधु वानम नी, इज़ंधा सिरागुम नी 2 मैं एक अच्छा इंसान हूं. ओरु धेयीवम थंडा पूवे, चिरु ऊदल येन्ना थायाए 2 तुम्हारी जरूरत है, तुम्हारी जरूरत है... किसी चीज़ की ज़रूरत है. मैं जरूरतमंद हूं. मैं कुछ नहीं पाऊँगा, मैं कुछ नहीं पाऊँगा मारविल ऊरूम उइराए ... ओरु धेयीवम थंडा पूवे, कन्निल थेडल येन्ना थायाए 2 नेन्जिल जिल जिल जिल जिल, कादिल ढिल ढिल ढिल ढिल, कन्नथिल मुथ्थमित्तल नी कन्नथिल मुथमित्तल",Romantic
AR Rahman,Mehndi Hai Rachnewali,"मेहँदी रचनेवाली, हाथों में गहरी लाली कहें सखियाँ, अब कलियाँ, हाथों में खिलने वाली हैं को, जीवन को,नई ख़ुशियाँ मिलने वाली हैं मेहँदी रचनेवाली, हाथों में गहरी लाली कहें सखियाँ,अब कलियाँ, हाथों में खिलने वाली हैं को, जीवन को, नई ख़ुशियाँ मिलने वाली हैं हरियाली बन्नो जाने तुझको गुईयाँ आने हैं सैयाँ थामेंगे आ बईयाँ गूँजेगी शहनाई अंगनाई-अंगनाई मेहँदी रचनेवाली, हाथों में गहरी लाली कहें सखियाँ, अब कलियाँ, हाथों में खिलने वाली हैं को, जीवन को, नई ख़ुशियाँ मिलने वाली हैं गायें मईया और मौसी, गायें बहना और भाभी मेहंदी खिल जाये, रंग लाये, हरियाली बन्नी गायें फूफी और चाची, गायें नानी और दादी मेहंदी भाये, सज जाये, हरियाली बन्नी मेहंदी रूप सँवारे हो, मेहंदी रंग निखारे हरियाली बन्नी आँचल में उतरेंगे तारे मेहँदी रचनेवाली, हाथों में गहरी लाली कहें सखियाँ, अब कलियाँ, हाथों में खिलने वाली हैं को, जीवन को, नई ख़ुशियाँ मिलने वाली हैं गाजे, बाजे, बाराती, घोड़ा, गाड़ी और हाथी लायेंगे साजन, आँगन, हरियाली बन्नी तेरी मेहंदी देखेंगे तो, अपना दिल देंगे पैरों में तेरी चुपके से, हरियाली बन्नी मेहँदी रूप सँवारे, मेहँदी रंग निखारे हरियाली बन्नी आँचल में उतरेंगे तारें मेहँदी रचनेवाली, हाथों में गहरी लाली कहें सखियाँ, अब कलियाँ, हाथों में खिलने वाली हैं को, जीवन को, नई ख़ुशियाँ मिलने वाली हैं",Happy
AR Rahman,Pudhu Vellai Mazhai,"मैं एक अच्छा दोस्त हूँ, मैं एक अच्छा दोस्त हूँ इंधा कोल्लई नीला, उदल नानागिंद्रधु मैं बहुत खुश व्यक्ति हूं मैं एक अच्छा इंसान हूं. मैं एक अच्छा दोस्त हूँ, मैं एक अच्छा दोस्त हूँ इंधा कोल्लई नीला, उदल नानागिंद्रधु मैं बहुत खुश व्यक्ति हूं मैं एक अच्छा इंसान हूं. नधिये नी आनाल, करै नाने सिरु बहुत सुंदर लड़की और मैं बहुत खुश हूं मैं एक अच्छा दोस्त हूँ, मैं एक अच्छा दोस्त हूँ इंधा कोल्लई नीला, उदल नानागिंद्रधु मैं एक दरिद्र व्यक्ति हूं, मैं एक महिला हूं मैं एक पेन हूं, मैं एक पू पूप्पाडिल्लई हूं मैं एक गरीब व्यक्ति हूं. भारतीय भूमि, पू पूथधु ईद मुबारक, ईश्वर आपको आशीर्वाद दे तुम्हारा सपना है? मैं एक अच्छा दोस्त हूँ, मैं एक अच्छा दोस्त हूँ इंधा कोल्लई नीला, उदल नानागिंद्रधु मैं बहुत खुश व्यक्ति हूं मैं एक अच्छा इंसान हूं. मैं एक अच्छा दोस्त हूँ, मैं एक अच्छा दोस्त हूँ इंधा कोल्लई नीला, उदल नानागिंद्रधु नी अनाईकिन्द्र वेलाईइल, उयिर पू धिद्दुक्केंड्रू मलरुम आपका स्वागत है, मैं बहुत खुश हूं मैं एक गरीब व्यक्ति हूं, मैं एक गरीब व्यक्ति हूं मलार मंजम सेराधा पेन निला दुनिया का अंत है? मैं एक अच्छा दोस्त हूँ, मैं एक अच्छा दोस्त हूँ इंधा कोल्लई नीला, उदल नानागिंद्रधु मैं बहुत खुश व्यक्ति हूं मैं एक अच्छा इंसान हूं. नधिये नी आनाल, करै नाने सिरु बहुत सुंदर लड़की और मैं बहुत खुश हूं मैं एक अच्छा इंसान हूं, मैं एक अच्छा इंसान हूं इंधा कोल्लई नीला उदल नानागिइन्द्रधु",Romantic
AR Rahman,Maahi Ve,"धूप पानी बरस जाये साये बनाये, मिटाये मैं कहूँ और आ जाये बेहलाए हर दूरी शरमाये साथ है, दिन रात परछाईयाँ बतलाये साथ है, दिन रात साया, साया माहि माहि मेरी हर बात में साथ माही वे, माही हालात माही वे... माही वे... हाय सताये, मनाये, सताये रुलाये, हँसाए भी ही हमसाये, हर दूरी शरमाये साथ है, दिन रात परछाईयाँ बतलाये साथ है, दिन रात साया साया माही वे, माही मेरी सब राज़, कल-आज माही वे, माही मेरी हर उड़ान एक माही वे... माही वे... माही वे, माही जीना भी, जीना भी दोनों का तुमसे ही वास्ता मैं ही हूँ तेरा पता दूसरा कोई रास्ता मुझ तक तुमको ढूंढता खामोशियों में बोलता जीना भी, जीना भी भी हुआ है, तुमसे हुआ माही वे...",Romantic
AR Rahman,Hosanna,"ऐसा ही हो... उदययथाई नोरुंगगवे... आशा आप पसंद करते हो... थारुवेन नी उदाइकवे... ओह ओह.. होसान्ना होसान्ना.. ओह ओह.. होसान्ना होसान्ना.. अन्धा नीरम अन्धी नीरम मैं तुम्हें दोबारा देखने लिए इंतजार नहीं सकता है... बाप मेरी तुम्हें जाने देने की अनुमति नहीं है गाना आता है... होसन्ना...एन वासल ठंडी पोनाले.. होसन्ना..वेयर-ओन्ड्रम सेयामाले.. भूख लगी है. नूल-आघिरेन चूसो मैं एक नौसिखिया हूं और मैं एक नौसिखिया हूं मैं थक गया हूँ... होसन्ना...वाझवुकम पक्कम वंधेन होसन्ना... मैं तुम्हें शांति दूंगा होसन्ना...अगर आप खुश हैं, आप खुश हैं होसन्ना... हर कोई जानना चाहता कैसा महसूस होगा मैं वास्तव में आपके साथ यहाँ रहना चाहता हूँ... कहना पर्याप्त नहीं हम एक दूसरे लिए हैं प्रेम ही सच्चा है... होसाना...जब तुम मेरा नाम पुकारोगे मैं वहां रहूंगी... होसाना...ऐसा लग मेरी पूरी जिंदगी बदल गई है... मैं कभी भी वैसा नहीं रहना चाहता... अब समय आ गया हम पुनः व्यवस्था करें... मैं एक कदम उठाता हूँ आप एक कदम उठाइये मैं यहाँ तुम्हें बुला हूँ... हैलो...हल्लो...हल्लोउउ...यो...होसन्ना.. होसन्ना हूओह्ह्ह्ह.. होसन्ना हूऊओह्ह्ह्ह... नहाओ, नहाओ, पट्टू, पूछी पू थाडी पू थाडी मैं मूर्ख हूं.. ओह हुड थोटू पोगा मेगम ओन्ड्रू मेगम ओन्ड्रू येंग-एंगो नागरगिन-द्रधे.. होसन्ना..पट्टू पूछी वंधाचा.. होसन्ना..मेगम उन्नई थोत्ताचा.. किलिंजल आगिराई-नान कुझंडई आघिराएं मैं अच्छा इंसान नहीं हूँ, मैं अच्छा इंसान हूँ.. हैलो...हैलो...हैलो...यो...होसान्ना होसन्ना... अगर आप अच्छे इंसान हैं.. होसन्ना...हाँ, मैं एक सेवक हूँ.. होसन्ना...हम्म येन्द्रु सोल्लु पोधुम.. होसन्ना... ऐसा ही हो... उदययथाई नोरुंगगवे... आशा आप पसंद करते हो... थारुवेन नी उदाइकवे... ऐसा ही हो... उदययथाई नोरुंगगवे... आशा आप पसंद करते हो... थारुवेन नी उदाइकवे...",Devotional
AR Rahman,Pachchai Nirame (Sakiye),"सबसे सुन्दर और सबसे खूबसूरत, सबसे मैं बहुत खुश व्यक्ति हूं पचै निरामे पचै निरामे इच्छाइ मूत्तुम पचै निरामे पुल्लिन सिरिप्पुम पचै निरामे एनक्कु सम्मधम थरुमए मैं एक अच्छा इंसान हूँ, मैं एक अच्छा इंसान हूँ, मैं एक अच्छा इंसान हूँ मैं कुछ भी नहीं पाउँगा. ईश्वर की शांति और आशीर्वाद आप पर बना रहे किलईल कानुम किलियिन मूक्कु विडालिप पेन्निन वेत्रिलाई नाक्कु पहला घर बनाने का अधिकार है एला सिवप्पुम उंधन कोवम एला सिवप्पुम उंधन कोवम अन्धी वानम अरैकुम मंजल अग्निनीक कोझुंधिल पूत्था मंजल थंगथ थोडु जनित्था मंजल कोनरैप पोविल कुलित्था मंजल मन्जल् मन्जल् मन्जल् मलाई निलाविन मरगधा मंजल एल्लाम थंगुम उंधन नेन्जिल सबसे महत्वपूर्ण बात खुश रहना है सबसे महत्वपूर्ण बात खुश रहना है मैं आपके लिए प्रार्थना हूँ, मैं आपके लिए प्रार्थना हूँ, मैं आपके लिए प्रार्थना हूँ मायिलिन कजुथिल वारुम वन्नम कुवलाइप पोओविल कुज़ैथ्था वन्नम ऊधप पोविल ऊत्रिया वन्नम मैं ही हूं इराविन निरामे इराविन निरामे कार्कलथ्थिन मोथ्था निरामे काकाइच चिरागिल कानुम निरामे पेनमाई एझुधुम कानमाई निरामे मैं एक औरत हूँ एल्लाम शार्न्धु सेक्स हॉल निरमे एल्लाम शार्न्धु सेक्स हॉल निरमे सबसे महत्वपूर्ण बात खुश रहना है सबसे महत्वपूर्ण बात खुश रहना है मेरा भाई मेरा भाई नहीं है. मज़्हईइल मुलैयम थम्बई निरामे बूढ़ा आदमी बूढ़ा आदमी है, बूढ़ा आदमी बूढ़ा आदमी है मज़्हईल मुलैयुम थम्बई निरामे उनाधु मनसिन निरामे उनाधु मनासिन निरामे उनाधु मनासिन निरामे",Romantic
AR Rahman,Snehithane Snehithane,"परसों रात आपकी परसों रात तुम्हारी गोद में, मैं खुशी भर गया, हवा अंदर आ गई हो आज रात, उस नम याद में संघर्ष बछड़े की तरह, मैं व्याकुल और विलाप हूँ; बालों की घुंघरालाहट में, लहरों की खूबसूरती में, बालों की घुंघरालाहट में, लहरों की खूबसूरती में, मेरा अभिमान चला गया, मेरा अभिमान चला गया दोस्त, दोस्त, गुप्त दोस्त मित्र, मेरी छोटी विनती सुनो वही दबाव, वही दबाव, वही आलिंगन, आलिंगन मैं पूरी तरह जीना चाहता हूं मैं पूरी तरह जीना चाहता हूं दोस्त, दोस्त, गुप्त दोस्त आप छोटे छोटे उल्लंघन भी समझ जायेंगे तुम मेरी सभी कोशिकाओं फूलों खिलवा दोगे हाथ में फूल, मुँह में फूल धीरे-धीरे, कोई भक्त फूल तोड़ जब मैं सोता हूँ तुम नाखून काटते हो गहरी नींद अपनी उंगली अंदर जैतून का तेल लगाएं मैं सेवा करना चाहता हूं. अगर भी तुम्हारे रोने पर रोना पड़े पोंछने लिए एक उंगली चाहिए. दोस्त, दोस्त, गुप्त दोस्त मित्र, मेरी छोटी विनती सुनो परसों रात तुम्हारी गोद में, मैं खुशी भर गया, हवा अंदर आ गई हो आज रात, उस नम याद में संघर्ष बछड़े की तरह, मैं व्याकुल और विलाप हूँ; बालों की घुंघरालाहट में, लहरों की खूबसूरती में, बालों की घुंघरालाहट में, लहरों की खूबसूरती में, मेरा अभिमान चला गया, मेरा अभिमान चला गया मैं दिन में आपकी कही हुई हर बात समझ लूंगा मैं दिन में आपकी कही हुई हर बात समझ लूंगा मैं रात समझ जाउंगा भले ही तुम बताओ मैं अपने बाल अपने कानों में डालूंगी मैं भी तुम्हारी कमीज़ पहन घूमूंगा. जब आप नहा होंगे मैं थोड़ा भीग जाऊँगा मैं नमक की एक थैली जाऊँगा. मैंने तुम्हें उठाया और अपनी हथेली पर लिया मैं अपने रूमाल में छुपा लूंगा. जब समय रिहा देना मैं चाहूँ वरदान स्वीकार लूँगा दोस्त, दोस्त, गुप्त दोस्त मित्र, मेरी छोटी विनती सुनो वही दबाव, वही दबाव, वही आलिंगन, आलिंगन मैं पूरी तरह जीना चाहता हूं मैं पूरी तरह जीना चाहता हूं दोस्त, दोस्त, गुप्त दोस्त छोटी-छोटी विनतियों सुनें",Romantic
