spotify_id,title,artist,album,release_date,popularity,0
5cjVsWqIkBQC7acTRhL0RO,Kamariya,"Aastha Gill, Sachin Sanghvi, Jigar Saraiya, Divya Kumar",Stree,2018-08-22,70.0,
1zgld0Oet9q8u2mjrGCBNr,Hermosa,"Aastha Gill, D Soldierz",Hermosa,2020-01-24,28.0,
7gAyu0od48mkaCw1laPKVC,Naagin,"Vayu, Aastha Gill, AKASA, Puri",Naagin,2019-10-17,58.0,
7hXcOpRn1c1zFG6sOFcfj5,Video Bana De,"Sukh-E Muzical Doctorz, Aastha Gill, Jaani",Video Bana De,2020-04-27,38.0,
46GBoFCdFZZSjuGaZjZmGv,Saara India,Aastha Gill,Saara India,2019-05-03,43.0,
7rlUYt3JTteF5OqEnx1UYf,Aapke Pyaar Mein,Alka Yagnik,Raaz (Original Motion Picture Soundtrack),2002-02-01,63.0,
4n8khJokpmS6ick70rY8jK,Ringa Ringa,"Alka Yagnik, Ila Arun",Jai Ho A.R. Rahman,2009-05-25,35.0,
2B4BSgWbew9xeQjjskF5Wh,Salaam,Alka Yagnik,Umrao Jaan,2006-10-04,37.0,
3yRoV3XxY866zW6PZuwzXy,Ek Do Teen Char,Alka Yagnik,Tezaab,1988-06-10,56.0,
68IoPplcSgQ2xO4WSsUAaI,Tu Na Jaa Mere Baadshah,"Alka Yagnik, Mohammed Aziz",Khuda Gawah (Original Motion Picture Soundtrack),1992-05-08,58.0,
5RejeevUfjSNvSAI5NtRXt,Tu Muskura,"Alka Yagnik, Javed Ali",Yuvvraaj (Original Motion Picture Soundtrack),2008-11-21,38.0,
7aPMgglPJcmvai8MW8W0vN,Man Basia,Alka Yagnik,Tere Naam,2003-06-28,46.0,
307KPUfJ7GREExZZlzTRUc,Raghupati Raghav,"Jatin-Lalit, Alka Yagnik, Shankar Mahadevan",Kuch Kuch Hota Hai (Original Motion Picture Soundtrack),1998-08-19,43.0,
3VmN7lDvd9iJFWYOOzyDNx,Deewana Mujhe Kar Gaya,"Alka Yagnik, Mohammed Aziz",Khuda Gawah (Original Motion Picture Soundtrack),1992-05-08,40.0,
2FCXQHugkoHE1K3tiDu8pu,Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Love Forever With Arijit Singh,2017-06-07,73.0,
1CK7tnXhsr0Br5ZzbZdBzh,Deewana,"Sandesh Shandilya, Alka Yagnik, Sonu Nigam, Kareena Kapoor",Kabhi Khushi Kabhie Gham (Original Motion Picture Soundtrack),2001-11-28,58.0,
2ETc1obaqJAk67ydgOuRNC,Mujhko Mana Lena,"Alka Yagnik, Ashok Ojha",Mujhko Mana Lena - Single,2021-07-29,1.0,
6YRbDkyTzsizAWFz8kwiI7,Hum Tum,"Jatin-Lalit, Alka Yagnik, Babul Supriyo, Prasoon Joshi",Hum Tum,2004-04-09,62.0,
2J7a1CYENkrQYxrohhZRmA,Hawa Ne Ye Paigham,Alka Yagnik,Rang (Original Motion Picture Soundtrack),2011-09-02,8.0,
6o1o5SVSqVPLKAnZxRQz4x,Manja,"Amit Trivedi, Mohan Kannan",Kai Po Che (Original Motion Picture Soundtrack),2013-02-01,52.0,
0MjL7YQ02qH7nxfayhbmfp,Suno Aisha,"Amit Trivedi, Nakash Aziz, Ash King",Aisha (Original Motion Picture Soundtrack),2010-07-05,49.0,
6iFm1CcTrJe7SbZqXMXuDk,Meethi Boliyaan,"Amit Trivedi, Mili Nair",Kai Po Che (Original Motion Picture Soundtrack),2013-02-01,44.0,
6DwBCjospi1c9WsRVfoCwN,Namo Namo,Amit Trivedi,Kedarnath (Original Motion Picture Soundtrack),2018-11-27,67.0,
4J9n7thOdqi8gxRGNyQoVC,Gal Mitthi Mitthi,"Amit Trivedi, Tochi Raina",Aisha (Original Motion Picture Soundtrack),2010-07-05,60.0,
6k3XXCE1ZzwevQlxf8dNaw,Love you zindagi,"Amit Trivedi, Jasleen Royal, Kausar Munir",Dear Zindagi (Original Motion Picture Soundtrack),2016-11-15,65.0,
1TCSIYXbdls7AVVkBRbAyt,Dhak Dhuk,Amit Trivedi,English Vinglish (Original Motion Picture Soundtrack),2012-09-05,37.0,
1a8w8nlIyIhE2W1HIayKnl,Ghodey Pe Sawaar,"Amit Trivedi, Amitabh Bhattacharya, Sireesha Bhagavatula","Ghodey Pe Sawaar (From ""Qala"")",2022-11-16,63.0,
2n6Y0uDH6hzDj9sWh34f68,Lehrein,"Amit Trivedi, Anusha Mani, Neuman Pinto, Nikhil D'Souza",Aisha (Original Motion Picture Soundtrack),2010-07-05,55.0,
1e7gkz5Yn8d9Wkxe58qdV5,Badra Bahaar,Amit Trivedi,Queen,2014-02-04,38.0,
2I0MIQhICYnKHvaxUHYH49,Shauq,"Amit Trivedi, Varun Grover, Shahid Mallya, Sireesha Bhagavatula, Swanand Kirkire",Qala (Music From The Netflix Film),2022-11-23,57.0,
6M82U5qYVaeItKB5JpvQLe,Ghanchakkar Babu,Amit Trivedi,Ghanchakkar (Original Motion Picture Soundtrack),2013-05-24,28.0,
7koDYHWbQlBzWG9nlv1uP0,Motumaster,"Raman Mahadevan, Amitabh Bhattacharya, Bonnie Chakraborty, Kshitij Wagh, Shriram Iyer, Tochi Raina, Amit Trivedi, Anurag Kashyap",Udaan,2010-06-29,21.0,
26cHFZNNF8wXOYJSH2Si4B,Dosti,Amit Trivedi,RRR,2022-04-16,34.0,
3ijl9qo5is82rMyGoBfDO1,Behke Behke,"Amit Trivedi, Anushka Manchanda, Samrat Kaushal, Raman Mahadevan, Robert Omulo, Suman Sridhar",Aisha (Original Motion Picture Soundtrack),2010-07-05,38.0,
2SkTyC38iipNvLy3xRheMW,Namo namo ji Shankara,Amit Trivedi,Trending Bollywood (1 Min Mix),2023-07-17,29.0,
0a4IoONosaWbLT4QfSvqij,Gubbare,"Amit Trivedi, Shilpa Rao, Nikhil D'Souza, Amitabh Bhattacharya",Ek Main Aur Ekk Tu,2011-12-29,38.0,
2g3o6I7YuKFEUn9OOfuAfP,Naina Da Kya Kasoor,Amit Trivedi,Andhadhun (Original Motion Picture Soundtrack),2018-10-03,70.0,
1P4X1N94ZQZXrS1p33P4PF,Teriyaan Tu Jaane,"Amit Trivedi, Harshdeep Kaur, Jyoti Nooran",Coke Studio S4,2023-02-03,28.0,
790D3Jf8ZxfcCWkcITtkUP,Sacchi Mohabbat,"Amit Trivedi, Shellee, Shahid Mallya, Jonita Gandhi",Manmarziyaan (Original Motion Picture Soundtrack),2018-08-10,38.0,
